OrderID,Date,CustomerID,State,Category,Sub-Category,Quantity,Sales,Profit
O20000,2023-02-22,C1448,New York,Toys,Dolls,5,108.27,21.91
O20001,2023-02-23,C1215,Texas,Sports,Accessories,5,177.88,35.97
O20002,2023-09-25,C1343,Florida,Electronics,Audio,1,110.97,15.14
O20003,2023-10-04,C1311,California,Home,Decor,5,186.55,36.47
O20004,2024-02-18,C1388,Ohio,Toys,Action Figures,5,109.53,16.24
O20005,2023-10-30,C1191,Michigan,Toys,Puzzles,2,43.99,2.79
O20006,2023-11-20,C1399,Ohio,Clothing,Jackets,2,153.62,35.03
O20007,2023-01-29,C1210,Illinois,Home,Kitchen,3,159.02,36.26
O20008,2023-07-05,C1219,Georgia,Beauty,Makeup,3,103.86,11.9
O20009,2023-07-17,C1170,Pennsylvania,Home,Kitchen,2,104.69,24.37
O20010,2024-08-06,C1021,California,Beauty,Makeup,1,32.44,6.54
O20011,2023-01-15,C1180,New York,Clothing,Shirts,2,55.46,7.22
O20012,2024-03-16,C1336,Georgia,Sports,Accessories,3,80.93,9.41
O20013,2024-08-16,C1495,New York,Home,Furniture,4,1084.3,265.68
O20014,2023-03-30,C1335,California,Home,Kitchen,5,326.84,62.92
O20015,2023-08-18,C1002,Ohio,Electronics,Audio,4,497.95,62.62
O20016,2024-08-12,C1444,Georgia,Electronics,Laptop,4,3961.53,706.72
O20017,2023-05-08,C1209,Texas,Home,Decor,5,167.27,27.48
O20018,2023-09-18,C1345,Illinois,Clothing,Shirts,2,34.98,5.42
O20019,2024-09-17,C1005,Texas,Home,Decor,1,35.31,6.32
O20020,2024-11-06,C1230,Ohio,Electronics,Audio,4,485.64,76.5
O20021,2023-01-07,C1492,Texas,Beauty,Hair,1,18.89,3.42
O20022,2023-02-08,C1417,New York,Toys,Action Figures,3,65.83,15.24
O20023,2023-04-22,C1403,Georgia,Electronics,Audio,4,535.03,133.04
O20024,2023-06-10,C1142,Florida,Home,Decor,3,108.44,20.81
O20025,2024-10-01,C1081,Pennsylvania,Beauty,Skincare,2,60.89,14.34
O20026,2024-10-21,C1023,New York,Home,Furniture,4,1182.82,262.21
O20027,2023-06-25,C1059,New York,Clothing,Pants,3,100.67,10.97
O20028,2023-08-02,C1137,Pennsylvania,Home,Decor,3,99.78,23.61
O20029,2024-08-20,C1202,Texas,Electronics,Audio,2,275.92,17.7
O20030,2024-04-27,C1443,New York,Clothing,Pants,1,43.21,5.01
O20031,2024-08-18,C1105,Texas,Electronics,Accessories,1,28.94,5.15
O20032,2023-10-03,C1170,Pennsylvania,Home,Decor,4,148.2,23.03
O20033,2023-10-04,C1192,Michigan,Electronics,Audio,2,220.26,34.91
O20034,2024-08-08,C1050,North Carolina,Sports,Outdoor,4,327.74,68.49
O20035,2024-09-23,C1479,Florida,Clothing,Pants,1,44.13,3.92
O20036,2023-12-29,C1144,Texas,Electronics,Audio,2,286.51,70.6
O20037,2023-12-30,C1153,Florida,Home,Kitchen,5,329.74,45.34
O20038,2024-05-24,C1219,Georgia,Clothing,Shirts,2,60.23,14.45
O20039,2023-03-05,C1031,Texas,Home,Bedding,2,141.05,17.86
O20040,2023-04-28,C1261,North Carolina,Clothing,Shoes,5,200.43,34.14
O20041,2023-06-06,C1268,New York,Electronics,Audio,3,242.15,33.92
O20042,2023-06-21,C1226,North Carolina,Clothing,Shirts,3,87.56,16.21
O20043,2023-09-01,C1403,Georgia,Clothing,Jackets,3,261.73,22.7
